Account,date,daily_pnl,mean_pnl_per_trade,pnl_std,min_pnl,max_pnl,total_volume,avg_trade_size,total_fees,num_trades,sentiment,fear_greed_value,win_rate,long_short_ratio,drawdown_proxy
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-09,-36253.792726,-297.1622354590164,3122.58903893995,-29370.1198,1014.453736,1376396.0999999999,11281.935245901639,301.804613,122,Fear,18.0,0.680327868852459,0,49935.223704
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-10,22908.117384,67.97660944807122,319.91449199981236,-3.39132,4200.0,8621968.6,25584.4765578635,1496.682866,337,Fear,39.0,0.7240356083086054,0,3.4337999999999997
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-11,0.0,0.0,0.0,0.0,0.0,2161623.49,33255.74600000001,191.626505,65,Fear,25.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-12,88152.006818,70.46523326778576,731.9595629163008,-550.75536,19530.5225,51250451.44,40967.58708233413,10554.753586,1251,Fear,43.0,0.15587529976019185,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-13,11239.437228,39.43662185263158,158.07573884635713,0.0,1592.193389,9047544.72,31745.770947368423,1853.425964,285,Neutral,45.0,0.3017543859649123,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-14,7922.167264999999,34.444205499999995,303.59592476615353,-2762.143559,1710.892729,8793628.31,38233.16656521739,1348.722326,230,Fear,31.0,0.25217391304347825,0,6426.461112999997
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-15,40966.673478000004,56.041960982216146,273.5461138221559,0.0,3603.969558,18452080.43,25242.244090287277,1411.8902679999999,731,Fear,38.0,0.5923392612859097,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-16,41498.141783,46.83763180925508,413.174961061234,-1158.847848,8584.724704,34759929.84,39232.42645598194,5697.318453,886,Fear,29.0,0.3860045146726862,0,6046.3703160000005
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-17,0.0,0.0,0.0,0.0,0.0,738096.51,147619.302,0.0,5,Fear,30.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-18,43400.145539,114.51225735883904,371.4451604313641,0.0,3266.217216,22266842.28,58751.562744063325,4181.767321,379,Fear,33.0,0.762532981530343,0,0.0
